Hora;Satelites;Latitud;Longitud;Velocidad_GPS;Velocidad_Moto;Altitud;Accel_X;Accel_Y;RPM;TPS;Temperatura_Motor;Carga_Motor;Calidad;Bateria;Distancia;Pulsador;Distancia_Parcial;Promedio_Velocidad;Promedio_Aceleracion;Consumo_L_H;Consumo_Acumulado_L;KmL_Instantaneo;KmL_Promedio;Pulso_Iny_Acumulado
11:2:4;9;6.380603;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.033;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.035;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.036;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.037;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.038;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.039;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.041;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380602;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.042;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380601;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.043;0.00;0.0000;0.00;0.00;0
11:2:4;9;6.380601;-75.470427;0.00;0;1416;0.200;0.000;0;0;0;0;1.78;100;0.00;0;0.00;0.00;0.044;0.00;0.0000;0.00;0.00;0
